;Matrix multiplication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512x512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Tasks;;;;;;;2 Tasks;;;;;;;8 Tasks;;;;;;;64 Tasks;;;;;;;;1;2;8;64
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;1;2.002583145;2.694959444;3.591891892
;;18606;24290;18123;27078;;;;9291;9496;10007;16336;;;;6001;6315;7797;10840;;;;5485;6515;7638;14493;;;ThreadPool;1;2.039700927;2.964340373;2.982140108
;;21726;18721;25313;25847;;;;9260;12488;9821;18855;;;;6904;6534;8420;10973;;;;5037;6495;7811;14169;;;HaMeR;1;1.905266314;2.264370546;2.264370546
;;18369;19369;19066;31284;;;;11671;9350;13391;17785;;;;7133;8197;9104;11391;;;;5180;6440;7275;12443;;;Kotlin coroutines;1;1.522518977;2.467693429;1.91107347
;Median;18606;19369;19066;27078;;;Median;9291;9496;10007;17785;;;Median;6904;6534;8420;10973;;;Median;5180;6495;7638;14169;;;Ideal;1;2;8;8
