;Matrix multiplication;
128x128;

;1 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;160;179;122;337;;
;;183;175;125;314;;
;;197;189;161;346;;
;;165;103;119;324;;
;;130;104;141;338;;
;;167;104;157;326;;
;;176;104;;316;;
;;170;103;;318;;
;;173;104;;322;;
;;168;105;;332;;
;
;
;
512x512;

;1 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;7366;7315;7246;16906;;
;;7353;7150;7225;16759;;
;;7124;7163;7531;16883;;
;;7294;7278;7192;16824;;
;;7252;7336;7268;17024;;
;;7470;7198;7178;16925;;
;;7187;7241;7346;17031;;
;;7540;7406;7409;16884;;
;;7230;7439;7405;16993;;
;;7413;7302;7454;17014;;
;;7241;7359;7244;17026;;
;;7610;7355;7274;16890;;
;;7136;7178;7375;16916;;
;;7195;7356;7248;16910;;
;;7241;7302;7010;16979;;
;;7353;7305;7125;16957;;
;;7292;7294;7123;16837;;
;;7256;7264;7457;16891;;
;;7292;7372;7122;17121;;
;;7326;7291;7484;16979;;
;;7327;7213;7344;17109;;
;;7447;7375;7168;16843;;
;;7159;7299;6975;16827;;
;;7331;7362;7388;16852;;
;;7030;7120;7134;16785;;
;;7131;7230;;16851;;
;;7418;7307;;16853;;
;;7276;7254;;16812;;
;;7259;7134;;17019;;
;;7366;7191;;16881;;
;
;
;
;2 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;3651;3673;3772;8446;;
;;3793;3818;3808;8596;;
;;3624;3770;3571;8615;;
;;3543;3784;3501;8413;;
;;3486;3755;3550;8662;;
;;3539;3747;3551;8512;;
;;3512;3644;3696;8530;;
;;3752;3693;3568;8457;;
;;3501;3657;3578;8509;;
;;3536;3581;3559;8523;;
;;3691;3785;3668;8595;;
;;3590;3710;3787;8634;;
;;3501;3726;3613;8442;;
;;3464;3723;3528;8400;;
;;3545;3696;3531;8404;;
;;3529;3734;3506;8437;;
;;3536;3632;3606;8446;;
;;3488;3618;3681;8450;;
;;3717;3566;3635;8458;;
;;3625;3552;3582;8400;;
;;3692;3638;3511;8469;;
;;3653;3759;3553;8432;;
;;3835;3650;3616;8478;;
;;3755;3727;3547;8470;;
;;3799;3606;3790;8612;;
;;3706;3465;3495;8349;;
;;3648;3524;3503;8381;;
;;3704;3499;;8364;;
;;3697;3575;;8403;;
;;3689;3487;;8383;;
;
;
;
;8 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;1062;1090;1023;2400;;
;;1079;1047;1047;2424;;
;;1060;1064;1073;2293;;
;;1093;1072;1202;2318;;
;;1030;1133;1038;2350;;
;;1093;1078;1301;2384;;
;;1467;1129;1044;2317;;
;;1376;1032;1039;2261;;
;;1275;1062;1025;2299;;
;;1294;1088;1061;2404;;
;;1020;1020;1159;2412;;
;;1003;1064;1144;2270;;
;;1057;1051;1039;2331;;
;;1092;1025;1102;2076;;
;;998;1013;1070;2329;;
;;1056;1026;1071;2352;;
;;1028;1065;1078;2278;;
;;1021;1016;1077;2247;;
;;1163;1094;1049;2238;;
;;1099;1062;1081;2273;;
;;1084;1047;1170;2340;;
;;1090;1019;1040;2266;;
;;1046;1081;1062;2370;;
;;1070;989;1037;2325;;
;;1044;1003;1055;2363;;
;;1098;1037;1104;2289;;
;;1011;1083;1063;2292;;
;;1071;1018;1199;2223;;
;;1064;1104;1246;2258;;
;;988;1023;1138;2726;;
;
;
;
;64 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;1088;1014;1066;2365;;
;;1234;1031;1159;2329;;
;;1012;1060;1112;2400;;
;;1043;1057;1023;2388;;
;;996;1024;1059;2529;;
;;1099;1044;1048;2455;;
;;1031;1066;1007;2584;;
;;1022;994;1075;2321;;
;;997;1070;1027;2365;;
;;1015;1043;1021;2358;;
;;1034;1106;1053;2404;;
;;1013;971;1027;2372;;
;;1045;993;1030;2340;;
;;989;1054;1106;2409;;
;;1016;1013;1114;2375;;
;;978;1095;1253;2312;;
;;1156;1073;1032;2348;;
;;1024;1034;1072;2373;;
;;1008;1061;1137;2286;;
;;1028;1031;1023;2335;;
;;1497;1053;1030;2415;;
;;1076;1002;1186;2263;;
;;983;1016;1042;2274;;
;;1017;1041;1106;2346;;
;;1624;1014;1011;2422;;
;;1028;1030;1067;2330;;
;;1007;1043;1006;2298;;
;;980;1130;1020;2263;;
;;989;990;1064;2341;;
;;992;1026;1072;2328;;
;
;
;
