;Philosophers problem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 Philosophers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running by 2s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Thread;ThreadPool;HaMeR;Coroutines;
;;806;734.4;731.4;1127.8;;;38.7;13.2;10.2;20.4;;;;1182.8;1025.8;1011.4;8497.4;;;20.1;17.7;18.6;3740.3;;;;789.8;672.4;671.6;808;;;24.8;20.8;21.7;23.8;;;Semáforos;0.017063543;0.030693889;0.02328786;0.023083459;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Min;;;;;;Max;;;;;;;Min;;;;;;Max;;;;;;;Min;;;;;;Max;;;;;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;;;;
;;730;718;717;1102;;;833;752;741;1163;;;;1152;1001;984;1157;;;1205;1051;1040;11179;;;;760;638;644;780;;;835;697;698;843;;;;;;;;
;;704;687;728;1067;;;726;746;756;1151;;;;1157;965;962;1205;;;1209;995;1002;11353;;;;746;651;614;726;;;812;698;665;779;;;;;;;;
;;732;705;737;1022;;;771;761;790;1115;;;;1136;961;935;1210;;;1168;1012;973;10979;;;;751;657;639;741;;;800;717;689;789;;;;;;;;
;;738;693;673;1039;;;826;778;751;1082;;;;1139;978;943;1055;;;1215;1025;1005;10482;;;;759;643;636;714;;;859;689;685;773;;;;;;;;
;;765;687;692;1031;;;839;756;739;1132;;;;1108;992;880;1093;;;1144;1030;932;10564;;;;780;661;639;747;;;839;700;688;797;;;;;;;;
;;724;678;703;1024;;;755;742;739;1100;;;;1156;978;939;1095;;;1233;1047;996;10610;;;;761;649;639;731;;;814;673;660;746;;;;;;;;
;;737;716;711;1002;;;812;757;744;1065;;;;1139;970;935;1122;;;1193;1027;984;10086;;;;753;649;667;681;;;811;713;699;820;;;;;;;;
